POYRAZOGLU_YIGIT 3.967
MEMBER_IN BENZEMA_SUE 97.371
MEMBER_IN KOWALCZYK_TRACI 1.977
MEMBER_IN SOYLU_DIANE 6.018
MEMBER_IN AGUERO_DICK 23.641
MEMBER_IN JESUS_JASON 19.353
MEMBER_IN HEISENBERG_MICHEAL 89.656
MEMBER_IN PEKER_RENEE 23.115
MEMBER_IN PETROVIC_TRACIE 5.784
MEMBER_IN WOJCIECHOWSKI_STANLEY 51.645
MEMBER_IN MESSI_WHITNEY 1.344
MEMBER_IN SOYLU_LEAH 26.816
MEMBER_IN KAMINSKI_MATT 40.890
MEMBER_IN JESUS_DENNIS 84.282
MEMBER_IN DEMIREL_JODI 13.574
MEMBER_IN MARIC_JACQUELINE 12.273
MEMBER_IN MANE_LIZ 20.482
MEMBER_IN KOCAMAN_HEATHER 91.009
MEMBER_IN MANCINI_DARYL 59.839
MEMBER_IN SOYLU_MARGUERITE 90.328
MEMBER_IN DEMIREL_JODY 83.940
MEMBER_IN ZIELINSKI_MARCIA 18.747
MEMBER_IN STRACCI_CHERYL 83.229
MEMBER_IN KAMINSKI_MARIA 69.528
MEMBER_IN TADIC_WESLEY 20.618
MEMBER_IN PENTANGELI_KAGAN 50.932
MEMBER_IN JANKOWSKI_VICKI 86.388
MEMBER_IN TADIC_TRICIA 94.313
MEMBER_IN TATTAGLIA_EDNA 47.140
MEMBER_IN ROTH_JUAN 15.842
MEMBER_IN AGUERO_GRETCHEN 79.653
MEMBER_IN CORLEONE_ROSEMARIE 75.370
MEMBER_IN NOWAK_FRANCES 26.157
MEMBER_IN KILIC_JESSICA 22.099
MEMBER_IN JOVANOVIC_SIMON 16.224
MEMBER_IN SOYLU_JUANA 92.106
MEMBER_IN ROTSHCHILD_ARMANDO 99.660
MEMBER_IN SOPRANO_KELVIN 85.958
MEMBER_IN MANCINI_JULIUS 38.147
MEMBER_IN KAMINSKI_MARIO 73.039
MEMBER_IN ELLISON_CANDY 41.665
MEMBER_IN POYRAZOGLU_VERNON 76.945
MEMBER_IN KAMINSKI_MARIE 24.880
MEMBER_IN KAYA_MARTHA 52.533
MEMBER_IN KAMINSKI_MARY 45.457
MEMBER_IN ROTH_JUDY 61.111
MEMBER_IN MOEGREENE_CARLOS 9.672
MEMBER_IN MARKOVIC_REGINALD 68.716
MEMBER_IN ZUCKERBERG_JENNIFER 21.449
MEMBER_IN KAYA_JANETTE 71.976
MEMBER_IN POYRAZOGLU_GRANT 18.570
MEMBER_IN NIKOLIC_SHELLY 18.692
MEMBER_IN PENTANGELI_JAMES 1.324
MEMBER_IN CLEMENZA_LUIS 46.065
MEMBER_IN JESUS_FRANKLIN 88.597
MEMBER_IN HEISENBERG_TAMMY 94.086
MEMBER_IN BENZEMA_KARA 99.145
MEMBER_IN FORD_CHARLES 8.849
MEMBER_IN KNEZEVIC_ANTHONY 88.475
MEMBER_IN KILIC_STACIE 81.612
MEMBER_IN MESSI_RANDALL 53.940
MEMBER_IN GUZMAN_GUSTAVO 92.072
MEMBER_IN ROSATO_MADELINE 12.040
MEMBER_IN HEISENBERG_JUANA 62.813
MEMBER_IN BENZEMA_CESAR 46.513
MEMBER_IN JOBS_HOWARD 99.249
MEMBER_IN KAYA_TROY 2.472
MEMBER_IN GOTTI_CHARLENE 69.296
MEMBER_IN ROSATO_CLAUDIA 67.801
MEMBER_IN SOYLU_LENA 40.667
MEMBER_IN COLOMBO_KELLI 4.296
MEMBER_IN KWIATKOWSKI_LEIGH 50.963
MEMBER_IN SALAH_STACIE 21.810
MEMBER_IN SZYMANSKI_JESSICA 98.062
MEMBER_IN CLEMENZA_LUKE 98.711
MEMBER_IN KAMINSKI_MARTA 58.040
MEMBER_IN FORD_JULIAN 5.596
MEMBER_IN MANE_LEIGH 2.018
MEMBER_IN JESUS_LENA 73.343
MEMBER_IN BENZEMA_MARILYN 74.146
MEMBER_IN KILIC_STACEY 76.571
MEMBER_IN NOWAK_YIGIT 80.321
MEMBER_IN BENZEMA_KARL 34.376
MEMBER_IN COLOMBO_JERRY 85.509
MEMBER_IN PEKER_YVONNE 73.730
MEMBER_IN ZIELINSKI_BERNARD 74.045
MEMBER_IN STANKOVIC_ANGELO 22.969
MEMBER_IN BENZEMA_KATE 75.066
MEMBER_IN GENOVESE_MINNIE 64.469
MEMBER_IN BENZEMA_GENEVA 41.816
MEMBER_IN WOZNIAK_KAREN 28.107
MEMBER_IN MORGAN_MATT 28.032
MEMBER_IN TADIC_PETE 59.160
MEMBER_IN KAYA_ROBERT 50.601
MEMBER_IN GENOVESE_MUSTAFA 32.992
MEMBER_IN GUZMAN_NATALIE 67.388
MEMBER_IN COLOMBO_GINGER 22.518
MEMBER_IN RIZZI_MOLLY 59.707
MEMBER_IN NOWAK_JUANA 40.805
MEMBER_IN MESSI_CLYDE 95.107
MEMBER_IN MARIC_CLIFTON 49.401
MEMBER_IN BARZINI_LILLIAN 50.260
MEMBER_IN GATES_EDITH 19.941
MEMBER_IN RONALDO_GREG 98.774
MEMBER_IN ZIELINSKI_RAQUEL 60.164
MEMBER_IN KAYA_GLEN 24.387
MEMBER_IN WHITE_ABIGAIL 36.692
MEMBER_IN FORD_CHARLIE 18.247
MEMBER_IN BENZEMA_GEOFFREY 57.849
MEMBER_IN KOWALCZYK_ARTURO 85.992
MEMBER_IN NIKOLIC_SHELIA 37.137
MEMBER_IN RIZZI_LORNA 45.689
MEMBER_IN ROSATO_ARTHUR 74.392
MEMBER_IN MARIC_FRED 94.350
MEMBER_IN DEMIR_LYNETTE 25.357
MEMBER_IN MORGAN_MARC 16.378
MEMBER_IN STANKOVIC_HEATHER 61.029
MEMBER_IN ESCOBAR_HEATHER 80.794
MEMBER_IN KILIC_SUE 47.722
MEMBER_IN MORGAN_MARK 13.650
MEMBER_IN LUCCHESE_DELIA 56.454
MEMBER_IN GUS_LOREN 45.082
MEMBER_IN NIKOLIC_HILDA 60.143
MEMBER_IN SALAH_STACEY 47.998
MEMBER_IN WOJCIK_DAVID 68.697
MEMBER_IN SOYLU_TAMMY 37.287
MEMBER_IN ZUCKERBERG_DENISE 43.552
MEMBER_IN MORGAN_MARY 90.191
MEMBER_IN MORGAN_ZACHARY 50.869
MEMBER_IN TRAJKOVSKI_LEANNE 34.718
MEMBER_IN ESCOBAR_PHILIP 13.956
MEMBER_IN ESCOBAR_JOANNA 90.198
MEMBER_IN GUZMAN_ELIAS 8.501
MEMBER_IN WOJCIK_MONICA 7.830
MEMBER_IN CORLEONE_JOSIE 97.146
MEMBER_IN ESCOBAR_JOANNE 34.649
MEMBER_IN MANCINI_ALEXANDER 60.924
MEMBER_IN WOJCIECHOWSKI_MARINA 1.928
MEMBER_IN SOYLU_CLIFFORD 47.032
MEMBER_IN GENOVESE_DENISE 21.545
MEMBER_IN GUZMAN_YUNUS 55.412
MEMBER_IN MOEGREENE_SANTIAGO 69.057
MEMBER_IN TERIM_LUCY 13.118
MEMBER_IN PINKMAN_DANIELLE 22.145
MEMBER_IN GENOVESE_JEFFERY 0.165
MEMBER_IN CLEMENZA_LUPE 24.101
MEMBER_IN SZYMCZAK_KENNY 42.949
MEMBER_IN MOEGREENE_TAMMIE 81.875
MEMBER_IN BONANNO_MARIBEL 28.230
MEMBER_IN YILMAZ_CLAUDIA 17.847
MEMBER_IN NIKOLIC_FELIX 64.434
MEMBER_IN MARKOVIC_JEFFERY 96.195
MEMBER_IN GOODMAN_RICK 52.027
MEMBER_IN ADELSON_ANITA 52.531
MEMBER_IN ZASA_KEITH 59.584
MEMBER_IN WHITE_GERALD 8.167
MEMBER_IN OZDEMIR_KRYSTAL 92.868
MEMBER_IN MARIC_FRAN 56.835
MEMBER_IN HEISENBERG_SALVATORE 67.856
MEMBER_IN JOVANOVIC_BETHANY 86.437
MEMBER_IN WOJCIECHOWSKI_MARION 19.243
MEMBER_IN BONANNO_PAIGE 5.202
MEMBER_IN STANKOVIC_SAM 90.677
MEMBER_IN GATES_DOUG 23.593
MEMBER_IN BONANNO_YUNUS 72.119
MEMBER_IN JANKOWSKI_TRINA 1.913
MEMBER_IN LUCCHESE_MONIQUE 77.460
MEMBER_IN CATLI_ROSIE 16.104
MEMBER_IN STOJANOVIC_WHITNEY 41.523
MEMBER_IN LEWANDOWSKI_LYNNE 45.320
MEMBER_IN KNEZEVIC_FAITH 43.695
MEMBER_IN ROCKEFELLER_BONITA 51.484
MEMBER_IN SLIM_BYRON 34.077
MEMBER_IN TESSIO_JORGE 57.161
MEMBER_IN KOWALCZYK_DARREN 70.334
MEMBER_IN ERBAKAN_HEATHER 16.179
MEMBER_IN STRACCI_CANDY 74.530
MEMBER_IN JOVANOVIC_CHRISTOPHER 16.933
MEMBER_IN ROTH_SANDY 15.216
MEMBER_IN YILMAZ_JOSEPH 32.689
MEMBER_IN ADELSON_JEN 3.820
MEMBER_IN MARKOVIC_ROLANDO 48.259
MEMBER_IN INONU_DAVID 87.114
MEMBER_IN WALTON_WENDY 39.924
MEMBER_IN BARZINI_SOPHIA 78.771
MEMBER_IN ERBAKAN_MARCO 57.288
MEMBER_IN KOWALCZYK_MAYRA 49.461
MEMBER_IN LEWANDOWSKI_BRUCE 62.167
MEMBER_IN POYRAZOGLU_GABRIELA 10.374
MEMBER_IN KOCH_MARIO 54.507
MEMBER_IN KOCH_MARIA 48.199
MEMBER_IN KOCH_MARIE 49.410
MEMBER_IN WOJCIECHOWSKI_KELLIE 84.810
MEMBER_IN RIZZI_JACKIE 35.648
MEMBER_IN ERBAKAN_CONNIE 53.142
MEMBER_IN IVANOVIC_MICHELLE 88.669
MEMBER_IN NIKOLIC_CHRISTOPHER 26.177
MEMBER_IN AGUERO_RODERICK 53.158
MEMBER_IN ADELSON_WENDY 18.212
MEMBER_IN OZDEMIR_BERNADETTE 68.059
MEMBER_IN DEMIREL_BYRON 60.874
MEMBER_IN KAYA_LATOYA 12.230
MEMBER_IN WOJCIK_FAITH 60.341
MEMBER_IN ZASA_JACOB 87.823
MEMBER_IN IVANOVIC_VELI 95.477
MEMBER_IN TADIC_WALLACE 12.666
MEMBER_IN CLEMENZA_LUCY 19.665
MEMBER_IN WOJCIECHOWSKI_KELLEY 17.464
MEMBER_IN PETROVIC_ALFRED 76.998
MEMBER_IN LUCCHESE_AARON 3.851
MEMBER_IN ROTH_EDITH 47.331
MEMBER_IN BUFFETT_CLIFFORD 57.369
MEMBER_IN WOJCIECHOWSKI_MARISA 16.237
MEMBER_IN BEZOS_VALERIE 26.075
MEMBER_IN MESSI_JOYCE 31.115
MEMBER_IN BUFFETT_ALBERT 25.830
MEMBER_IN ZASA_ANTONIA 32.932
MEMBER_IN ZASA_LORI 27.206
MEMBER_IN DEMIR_ROSIE 5.462
MEMBER_IN ZUCKERBERG_ANGELICA 53.329
MEMBER_IN MANE_KENNY 21.792
MEMBER_IN INONU_IGNACIO 98.893
MEMBER_IN WOJCIECHOWSKI_LAWRENCE 45.542
MEMBER_IN NIKOLIC_DOMINIC 80.042
MEMBER_IN POYRAZOGLU_MARISA 83.232
MEMBER_IN SZYMCZAK_MARTHA 30.040
MEMBER_IN OZDEMIR_FREDDIE 26.869
MEMBER_IN PETROVIC_ALBERT 79.633
MEMBER_IN MBAPPE_ZACHARY 58.284
MEMBER_IN TATTAGLIA_SUSAN 13.553
MEMBER_IN RIZZI_LOREN 47.959
MEMBER_IN ZIELINSKI_SHERRY 69.722
MEMBER_IN SZYMCZAK_MINDY 58.859
MEMBER_IN WOZNIAK_OWEN 73.893
MEMBER_IN GATES_ARTURO 36.601
MEMBER_IN LEWANDOWSKI_DEBRA 63.002
MEMBER_IN INONU_ROXANNE 32.469
MEMBER_IN KNEZEVIC_DAVID 33.945
MEMBER_IN POYRAZOGLU_MARINA 59.749
MEMBER_IN DEMIREL_JOSH 47.584
MEMBER_IN KWIATKOWSKI_KENNY 16.240
MEMBER_IN PENTANGELI_HEATHER 29.613
MEMBER_IN ZIELINSKI_SHERRI 48.614
MEMBER_IN NEYMAR_MARSHALL 2.330
MEMBER_IN WHITE_GILBERTO 82.798
MEMBER_IN ADELSON_JAY 51.914
MEMBER_IN NIKOLIC_MARGARET 91.584
MEMBER_IN ADELSON_JAN 9.491
MEMBER_IN ESCOBAR_PABLO 35.188
MEMBER_IN KNEZEVIC_DORA 58.815
MEMBER_IN COLOMBO_KELLY 58.901
MEMBER_IN PEKER_FRED 83.173
MEMBER_IN KOCH_WES 52.292
MEMBER_IN DEMIR_BRYAN 77.882
MEMBER_IN KNEZEVIC_MIKE 73.773
MEMBER_IN KACZMAREK_ALAN 60.010
MEMBER_IN KOWALSKI_PATRICK 35.351
MEMBER_IN DEMIR_TREVOR 29.663
MEMBER_IN SOYLU_VELMA 82.352
MEMBER_IN HEISENBERG_JO 69.621
MEMBER_IN JANKOWSKI_LINDSAY 81.756
MEMBER_IN KOWALSKI_PATRICA 7.595
MEMBER_IN SZYMANSKI_GENEVA 63.927
MEMBER_IN JOBS_TRICIA 63.758
MEMBER_IN MARIC_OKAN 38.490
MEMBER_IN BONANNO_MARCELLA 63.872
MEMBER_IN POYRAZOGLU_KELLIE 35.946
MEMBER_IN IVANOVIC_GERTRUDE 23.984
MEMBER_IN ZUCKERBERG_MINNIE 17.268
MEMBER_IN MANE_CAMERON 31.269
MEMBER_IN WHITE_CAROLINA 36.047
MEMBER_IN INONU_FAITH 34.242
MEMBER_IN BUFFETT_VALERIE 22.042
MEMBER_IN POYRAZOGLU_MARION 30.398
MEMBER_IN PETROVIC_SEAN 88.224
MEMBER_IN WHITE_CAROLINE 39.087
MEMBER_IN GOODMAN_JOHNNY 19.590
MEMBER_IN DEMIR_ROGELIO 13.941
MEMBER_IN BARZINI_MORRIS 9.966
MEMBER_IN KOCH_MARCO 94.532
MEMBER_IN LUCCHESE_JILL 8.212
MEMBER_IN TATTAGLIA_JAMES 0.820
MEMBER_IN DEMIREL_JONI 38.918
MEMBER_IN PEKER_MIRANDA 87.477
MEMBER_IN TADIC_ALEXIS 25.971
MEMBER_IN MORGAN_PAM 91.787
MEMBER_IN ROTH_VITOR 66.187
MEMBER_IN GENOVESE_PEGGY 47.800
MEMBER_IN ZASA_LOIS 3.483
MEMBER_IN PEKER_BETH 60.963
MEMBER_IN PEKER_FRAN 57.245
MEMBER_IN BUFFETT_GEOFFREY 69.417
MEMBER_IN KOWALCZYK_JOSIE 43.566
MEMBER_IN JANKOWSKI_JOHANNA 27.049
MEMBER_IN ROSATO_KATHRYN 4.608
MEMBER_IN CATLI_BRYAN 12.059
MEMBER_IN PETROVIC_BENJAMIN 6.718
MEMBER_IN ROSATO_KRISTINA 30.261
MEMBER_IN COLOMBO_GAYLE 63.006
MEMBER_IN MARIC_MELISSA 73.301
MEMBER_IN BUFFETT_ALFRED 14.194
MEMBER_IN CATLI_TINA 88.910
MEMBER_IN KILIC_DWAYNE 26.437
MEMBER_IN STOJANOVIC_RANDALL 27.327
MEMBER_IN YILMAZ_CHARLENE 22.640
MEMBER_IN MESSI_ELMER 0.797
MEMBER_IN MARIC_HOLLY 15.120
MEMBER_IN ZIELINSKI_SHERYL 11.391
MEMBER_IN WALTON_CARA 12.552
MEMBER_IN MESSI_NELSON 34.218
MEMBER_IN IVANOVIC_JIMMY 61.231
MEMBER_IN ELLISON_ARNOLD 11.213
MEMBER_IN WALTON_CANDACE 35.903
MEMBER_IN SZYMANSKI_LUCAS 13.539
MEMBER_IN TATTAGLIA_WALLACE 22.777
MEMBER_IN WALTON_CARY 41.089
MEMBER_IN IVANOVIC_ROCHELLE 96.224
MEMBER_IN WHITE_EILEEN 42.056
MEMBER_IN ERBAKAN_MARLA 35.140
MEMBER_IN ELLISON_LUCINDA 50.695
MEMBER_IN PETROVIC_ROGELIO 80.052
MEMBER_IN MARIC_JEFFREY 27.639
MEMBER_IN BUFFETT_AARON 82.326
MEMBER_IN ESCOBAR_NAOMI 20.431
MEMBER_IN SZYMCZAK_LESTER 11.658
MEMBER_IN POYRAZOGLU_KELLEY 77.808
MEMBER_IN ZASA_NELLIE 3.142
MEMBER_IN TATTAGLIA_JESSICA 15.843
MEMBER_IN STOJANOVIC_OLIVER 27.329
MEMBER_IN OZDEMIR_CORINNE 0.884
MEMBER_IN ROSATO_MALCOLM 78.349
MEMBER_IN KOWALCZYK_DORA 13.549
MEMBER_IN TRAJKOVSKI_JEFFREY 94.746
MEMBER_IN GUZMAN_DENNIS 32.951
MEMBER_IN WALTON_HERBERT 62.674
MEMBER_IN TATTAGLIA_KAGAN 59.951
MEMBER_IN OZDEMIR_ALICIA 26.685
MEMBER_IN MBAPPE_TONYA 68.587
MEMBER_IN KOWALCZYK_MIKE 65.410
MEMBER_IN ZUCKERBERG_JOSEPHINE 26.325
MEMBER_IN SOPRANO_ROBERT 49.027
MEMBER_IN TATTAGLIA_JAMIE 88.933
MEMBER_IN KAYA_ISRAEL 48.978
MEMBER_IN PENTANGELI_SUSAN 83.450
MEMBER_IN NOWAK_TAMMY 36.117
MEMBER_IN ZASA_ANTONIO 79.705
MEMBER_IN KOCH_MIRIAM 80.661
MEMBER_IN WOJCIECHOWSKI_KRIS 27.775
MEMBER_IN MARKOVIC_SAMUEL 65.042
MEMBER_IN GOTTI_SHELLY 89.402
MEMBER_IN ADELSON_CARY 36.569
MEMBER_IN OZDEMIR_DOUG 81.188
MEMBER_IN BUFFETT_KARL 17.424
MEMBER_IN KILIC_FAYE 26.967
MEMBER_IN NEYMAR_HILDA 76.578
MEMBER_IN ZASA_LOLA 44.860
MEMBER_IN BUFFETT_KARA 50.790
MEMBER_IN KOWALCZYK_FRANCINE 96.261
MEMBER_IN WOZNIAK_BLANCA 94.885
MEMBER_IN MANE_LEA 0.617
MEMBER_IN KNEZEVIC_HEIDI 70.456
MEMBER_IN MANE_LEE 54.841
MEMBER_IN ADELSON_CARA 55.205
MEMBER_IN ROTSHCHILD_BYRON 4.745
MEMBER_IN KOWALSKI_JODI 8.168
MEMBER_IN GUS_MOLLY 12.889
MEMBER_IN MARIC_MERLE 1.969
MEMBER_IN SLIM_SHELLEY 45.023
MEMBER_IN POYRAZOGLU_GWENDOLYN 47.263
MEMBER_IN FORD_ARTURO 44.762
MEMBER_IN LEWANDOWSKI_LYNDA 49.348
MEMBER_IN KAMINSKI_CASSANDRA 90.007
MEMBER_IN ERBAKAN_MARIA 74.724
MEMBER_IN IVANOVIC_GABRIEL 12.862
MEMBER_IN YILMAZ_MALCOLM 29.738
MEMBER_IN ERBAKAN_MARIE 76.837
MEMBER_IN OZDEMIR_MIKE 49.770
MEMBER_IN PEKER_BERT 43.430
MEMBER_IN NOWAK_NATHAN 11.999
MEMBER_IN KWIATKOWSKI_MORGAN 57.298
MEMBER_IN BENZEMA_EDMUND 66.702
MEMBER_IN WOJCIK_HEIDI 85.814
MEMBER_IN OZDEMIR_DORA 32.643
MEMBER_IN COLOMBO_CRYSTAL 38.913
MEMBER_IN GATES_JACQUELYN 91.316
MEMBER_IN ERBAKAN_MARIO 62.185
MEMBER_IN GOODMAN_RITA 86.567
MEMBER_IN KILIC_JANETTE 31.501
MEMBER_IN ZUCKERBERG_VERONICA 70.582
MEMBER_IN HEISENBERG_YIGIT 59.946
MEMBER_IN STANKOVIC_ROD 78.408
MEMBER_IN STRACCI_NADINE 87.333
MEMBER_IN IVANOVIC_KAY 73.681
MEMBER_IN SOPRANO_MARTHA 93.901
MEMBER_IN STANKOVIC_ROB 40.411
MEMBER_IN PEKER_MIRIAM 11.044
MEMBER_IN CUNEO_GRACIELA 6.066
MEMBER_IN ELLISON_SHEILA 21.450
MEMBER_IN SOPRANO_LESTER 84.088
MEMBER_IN KOWALCZYK_DOUG 67.466
MEMBER_IN KWIATKOWSKI_DOUGLAS 38.527
MEMBER_IN KAYA_KELVIN 40.853
MEMBER_IN STANKOVIC_RON 33.674
MEMBER_IN SZYMCZAK_ROBERT 47.523
MEMBER_IN JOVANOVIC_AMBER 26.244
MEMBER_IN MANE_KEN 3.435
MEMBER_IN CORLEONE_KENT 7.409
MEMBER_IN MANCINI_JANE 83.656
MEMBER_IN MARIC_KATHY 27.955
MEMBER_IN GATES_JULIAN 45.244
MEMBER_IN KOWALCZYK_JULIAN 18.418
MEMBER_IN RIZZI_KATRINA 21.107
MEMBER_IN FORD_CAROLINE 82.488
MEMBER_IN FORD_CAROLINA 23.431
MEMBER_IN NOWAK_ROBIN 14.422
MEMBER_IN CUNEO_FRANCES 49.422
MEMBER_IN DEMIR_BETSY 86.164
MEMBER_IN JANKOWSKI_ORLANDO 88.573
MEMBER_IN MARIC_KATIE 45.122
MEMBER_IN KNEZEVIC_JESSIE 99.028
MEMBER_IN IVANOVIC_JAY 35.051
MEMBER_IN DEMIR_GALE 17.506
MEMBER_IN KOWALCZYK_CORINNE 87.818
MEMBER_IN STANKOVIC_PATTI 27.732
MEMBER_IN JOBS_SILVIA 26.455
MEMBER_IN JOBS_VICTORIA 30.631
MEMBER_IN IVANOVIC_JAN 10.896
MEMBER_IN TERIM_NICHOLAS 81.794
MEMBER_IN PENTANGELI_KERRI 81.122
MEMBER_IN SOYLU_MARGARITA 81.954
MEMBER_IN JESUS_RODERICK 17.495
MEMBER_IN DEMIREL_WESLEY 12.975
MEMBER_IN WALTON_PHILIP 34.826
MEMBER_IN TRAJKOVSKI_LUTHER 80.800
MEMBER_IN CATLI_CHRISTIE 51.700
MEMBER_IN JOVANOVIC_ABIGAIL 22.247
MEMBER_IN BENZEMA_STACY 92.524
MEMBER_IN DEMIREL_FAYE 25.437
MEMBER_IN MARIC_LANCE 88.334
MEMBER_IN KAYA_GORDON 20.546
MEMBER_IN KARTAL_BOB 93.474
MEMBER_IN POYRAZOGLU_MELINDA 27.634
MEMBER_IN LEWANDOWSKI_ARTHUR 12.292
MEMBER_IN STANKOVIC_PATTY 1.575
MEMBER_IN SALAH_VICTORIA 20.223
MEMBER_IN ROCKEFELLER_ROSE 62.456
MEMBER_IN BENZEMA_TOMMY 97.191
MEMBER_IN GENOVESE_SABRINA 96.443
MEMBER_IN PINKMAN_GRACIELA 21.490
MEMBER_IN PEKER_DOMINIC 22.204
MEMBER_IN TADIC_JESSICA 25.734
MEMBER_IN MOEGREENE_KATHY 62.997
MEMBER_IN MOEGREENE_JOANN 57.426
MEMBER_IN MARIC_PEARL 13.512
MEMBER_IN SALAH_ANNE 76.361
MEMBER_IN GAMBINO_CLYDE 20.096
MEMBER_IN TESSIO_DERRICK 46.372
MEMBER_IN BENZEMA_GRANT 46.315
MEMBER_IN CUNEO_FRANCIS 94.675
MEMBER_IN CATLI_NATHAN 61.726
MEMBER_IN CORLEONE_KERI 94.736
MEMBER_IN BUFFETT_DEBORA 64.305
MEMBER_IN STANKOVIC_JOEL 16.505
MEMBER_IN KOWALCZYK_DARRYL 76.663
MEMBER_IN WOJCIK_BERNADETTE 9.805
MEMBER_IN KWIATKOWSKI_MINDY 67.158
MEMBER_IN KAYA_KYLE 55.885
MEMBER_IN GAMBINO_LENA 90.899
MEMBER_IN BENZEMA_DEBBIE 6.947
MEMBER_IN PEKER_RACHAEL 11.431
MEMBER_IN IVANOVIC_JEN 87.243
MEMBER_IN POYRAZOGLU_RAMONA 17.433
MEMBER_IN IVANOVIC_DREW 14.150
MEMBER_IN PETROVIC_VICTOR 42.095
MEMBER_IN TRAJKOVSKI_CLIFTON 92.755
MEMBER_IN NOWAK_TANYA 78.931
MEMBER_IN NEYMAR_CLIFTON 88.547
MEMBER_IN SZYMCZAK_LATOYA 4.316
MEMBER_IN ADELSON_JOE 86.886
