OZDEMIR_YUNUSEMRE 51.700
MEMBER_IN MORGAN_ZACHARY 82.011
MEMBER_IN TRAJKOVSKI_LEANNE 95.719
MEMBER_IN ESCOBAR_PHILIP 14.164
MEMBER_IN ESCOBAR_JOANNA 13.974
MEMBER_IN GUZMAN_ELIAS 3.477
MEMBER_IN WOJCIK_MONICA 83.614
MEMBER_IN CORLEONE_JOSIE 1.529
INTEL_DIVIDE
MEMBER_IN ESCOBAR_JOANNE 99.322
MEMBER_IN MANCINI_ALEXANDER 43.799
MEMBER_IN WOJCIECHOWSKI_MARINA 72.017
MEMBER_IN SOYLU_CLIFFORD 96.458
MEMBER_IN GENOVESE_DENISE 8.814
MEMBER_IN GUZMAN_YUNUS 53.987
MEMBER_IN MOEGREENE_SANTIAGO 67.975
MEMBER_IN TERIM_LUCY 40.525
MEMBER_IN PINKMAN_DANIELLE 93.216
MEMBER_IN GENOVESE_JEFFERY 74.505
INTEL_DIVIDE
MEMBER_IN CLEMENZA_LUPE 20.071
MEMBER_IN SZYMCZAK_KENNY 9.664
MEMBER_IN MOEGREENE_TAMMIE 80.124
MEMBER_IN BONANNO_MARIBEL 55.616
MEMBER_IN YILMAZ_CLAUDIA 7.484
MEMBER_IN NIKOLIC_FELIX 29.201
MEMBER_IN MARKOVIC_JEFFERY 91.244
MEMBER_IN GOODMAN_RICK 28.256
MEMBER_IN ADELSON_ANITA 46.118
MEMBER_IN ZASA_KEITH 69.798
INTEL_DIVIDE
MEMBER_IN WHITE_GERALD 55.350
MEMBER_IN OZDEMIR_KRYSTAL 9.264
MEMBER_IN MARIC_FRAN 58.294
MEMBER_IN HEISENBERG_SALVATORE 39.042
MEMBER_IN JOVANOVIC_BETHANY 33.670
MEMBER_IN WOJCIECHOWSKI_MARION 77.469
MEMBER_IN BONANNO_PAIGE 4.157
MEMBER_IN STANKOVIC_SAM 56.663
MEMBER_IN GATES_DOUG 28.001
MEMBER_IN BONANNO_YUNUS 50.302
INTEL_DIVIDE
MEMBER_IN JANKOWSKI_TRINA 32.539
MEMBER_IN LUCCHESE_MONIQUE 30.984
MEMBER_IN CATLI_ROSIE 53.277
MEMBER_IN STOJANOVIC_WHITNEY 5.927
MEMBER_IN LEWANDOWSKI_LYNNE 83.885
MEMBER_IN KNEZEVIC_FAITH 64.801
MEMBER_IN ROCKEFELLER_BONITA 22.553
MEMBER_IN SLIM_BYRON 84.942
MEMBER_IN TESSIO_JORGE 28.414
MEMBER_IN KOWALCZYK_DARREN 50.681
INTEL_DIVIDE
MEMBER_IN ERBAKAN_HEATHER 89.905
MEMBER_IN STRACCI_CANDY 64.687
MEMBER_IN JOVANOVIC_CHRISTOPHER 86.076
MEMBER_IN ROTH_SANDY 99.883
MEMBER_IN YILMAZ_JOSEPH 91.604
MEMBER_IN ADELSON_JEN 7.110
MEMBER_IN MARKOVIC_ROLANDO 2.322
MEMBER_IN INONU_DAVID 93.511
MEMBER_IN WALTON_WENDY 79.462
MEMBER_IN BARZINI_SOPHIA 90.245
INTEL_DIVIDE
MEMBER_IN ERBAKAN_MARCO 70.887
MEMBER_IN KOWALCZYK_MAYRA 77.005
MEMBER_IN LEWANDOWSKI_BRUCE 17.262
MEMBER_IN POYRAZOGLU_GABRIELA 71.527
MEMBER_IN KOCH_MARIO 56.809
MEMBER_IN KOCH_MARIA 94.384
MEMBER_IN KOCH_MARIE 40.570
MEMBER_IN WOJCIECHOWSKI_KELLIE 87.994
MEMBER_IN RIZZI_JACKIE 93.190
MEMBER_IN ERBAKAN_CONNIE 67.058
INTEL_DIVIDE
MEMBER_IN IVANOVIC_MICHELLE 12.641
MEMBER_IN NIKOLIC_CHRISTOPHER 89.131
MEMBER_IN AGUERO_RODERICK 38.383
MEMBER_IN ADELSON_WENDY 51.814
MEMBER_IN OZDEMIR_BERNADETTE 44.310
MEMBER_IN DEMIREL_BYRON 4.220
MEMBER_IN KAYA_LATOYA 80.512
MEMBER_IN WOJCIK_FAITH 49.287
MEMBER_IN ZASA_JACOB 88.423
MEMBER_IN IVANOVIC_VELI 61.488
INTEL_DIVIDE
MEMBER_IN TADIC_WALLACE 41.741
MEMBER_IN CLEMENZA_LUCY 7.138
MEMBER_IN WOJCIECHOWSKI_KELLEY 61.256
MEMBER_IN PETROVIC_ALFRED 74.569
MEMBER_IN LUCCHESE_AARON 0.933
MEMBER_IN ROTH_EDITH 98.525
MEMBER_IN BUFFETT_CLIFFORD 3.741
MEMBER_IN WOJCIECHOWSKI_MARISA 97.819
MEMBER_IN BEZOS_VALERIE 40.006
MEMBER_IN MESSI_JOYCE 77.090
INTEL_DIVIDE
MEMBER_IN BUFFETT_ALBERT 96.701
MEMBER_IN ZASA_ANTONIA 62.833
MEMBER_IN ZASA_LORI 87.134
MEMBER_IN DEMIR_ROSIE 42.610
MEMBER_IN ZUCKERBERG_ANGELICA 26.136
MEMBER_IN MANE_KENNY 43.338
MEMBER_IN INONU_IGNACIO 88.139
MEMBER_IN WOJCIECHOWSKI_LAWRENCE 19.499
MEMBER_IN NIKOLIC_DOMINIC 25.151
MEMBER_IN POYRAZOGLU_MARISA 96.555
INTEL_DIVIDE
MEMBER_IN SZYMCZAK_MARTHA 89.244
MEMBER_IN OZDEMIR_FREDDIE 26.222
MEMBER_IN PETROVIC_ALBERT 78.538
MEMBER_IN MBAPPE_ZACHARY 61.942
MEMBER_IN TATTAGLIA_SUSAN 20.943
MEMBER_IN RIZZI_LOREN 45.818
MEMBER_IN ZIELINSKI_SHERRY 25.897
MEMBER_IN SZYMCZAK_MINDY 56.181
MEMBER_IN WOZNIAK_OWEN 49.782
MEMBER_IN GATES_ARTURO 16.124
INTEL_DIVIDE
MEMBER_IN LEWANDOWSKI_DEBRA 43.290
MEMBER_IN INONU_ROXANNE 99.489
MEMBER_IN KNEZEVIC_DAVID 69.077
MEMBER_IN POYRAZOGLU_MARINA 43.328
MEMBER_IN DEMIREL_JOSH 82.307
MEMBER_IN KWIATKOWSKI_KENNY 97.704
MEMBER_IN PENTANGELI_HEATHER 59.488
MEMBER_IN ZIELINSKI_SHERRI 32.654
MEMBER_IN NEYMAR_MARSHALL 41.761
MEMBER_IN WHITE_GILBERTO 61.961
INTEL_DIVIDE
MEMBER_IN ADELSON_JAY 1.136
MEMBER_IN NIKOLIC_MARGARET 91.539
MEMBER_IN ADELSON_JAN 83.908
MEMBER_IN ESCOBAR_PABLO 76.096
MEMBER_IN KNEZEVIC_DORA 88.785
MEMBER_IN COLOMBO_KELLY 99.374
MEMBER_IN PEKER_FRED 7.278
MEMBER_IN KOCH_WES 90.928
MEMBER_IN DEMIR_BRYAN 23.474
MEMBER_IN KNEZEVIC_MIKE 46.993
INTEL_DIVIDE
MEMBER_IN KACZMAREK_ALAN 59.977
MEMBER_IN KOWALSKI_PATRICK 17.763
MEMBER_IN DEMIR_TREVOR 92.945
MEMBER_IN SOYLU_VELMA 96.273
MEMBER_IN HEISENBERG_JO 61.546
MEMBER_IN JANKOWSKI_LINDSAY 88.205
MEMBER_IN KOWALSKI_PATRICA 28.684
MEMBER_IN SZYMANSKI_GENEVA 68.146
MEMBER_IN JOBS_TRICIA 83.600
MEMBER_IN MARIC_OKAN 84.287
INTEL_DIVIDE
MEMBER_IN BONANNO_MARCELLA 17.608
MEMBER_IN POYRAZOGLU_KELLIE 16.162
MEMBER_IN IVANOVIC_GERTRUDE 78.395
MEMBER_IN ZUCKERBERG_MINNIE 50.306
MEMBER_IN MANE_CAMERON 93.716
MEMBER_IN WHITE_CAROLINA 77.867
MEMBER_IN INONU_FAITH 83.162
MEMBER_IN BUFFETT_VALERIE 9.580
MEMBER_IN POYRAZOGLU_MARION 48.226
MEMBER_IN PETROVIC_SEAN 64.857
INTEL_DIVIDE
MEMBER_IN WHITE_CAROLINE 67.383
MEMBER_IN GOODMAN_JOHNNY 41.197
MEMBER_IN DEMIR_ROGELIO 47.206
MEMBER_IN BARZINI_MORRIS 97.782
MEMBER_IN KOCH_MARCO 19.320
MEMBER_IN LUCCHESE_JILL 23.959
MEMBER_IN TATTAGLIA_JAMES 50.780
MEMBER_IN DEMIREL_JONI 4.136
MEMBER_IN PEKER_MIRANDA 77.705
MEMBER_IN TADIC_ALEXIS 10.787
INTEL_DIVIDE
MEMBER_IN MORGAN_PAM 30.450
MEMBER_IN ROTH_VITOR 98.159
MEMBER_IN GENOVESE_PEGGY 66.735
MEMBER_IN ZASA_LOIS 81.489
MEMBER_IN PEKER_BETH 14.439
MEMBER_IN PEKER_FRAN 58.956
MEMBER_IN BUFFETT_GEOFFREY 39.641
MEMBER_IN KOWALCZYK_JOSIE 69.796
MEMBER_IN JANKOWSKI_JOHANNA 25.890
MEMBER_IN ROSATO_KATHRYN 14.650
INTEL_DIVIDE
MEMBER_IN CATLI_BRYAN 82.865
MEMBER_IN PETROVIC_BENJAMIN 74.655
MEMBER_IN ROSATO_KRISTINA 63.437
MEMBER_IN COLOMBO_GAYLE 77.958
MEMBER_IN MARIC_MELISSA 9.018
MEMBER_IN BUFFETT_ALFRED 67.361
MEMBER_IN CATLI_TINA 48.068
MEMBER_IN KILIC_DWAYNE 99.492
MEMBER_IN STOJANOVIC_RANDALL 1.914
MEMBER_IN YILMAZ_CHARLENE 65.390
INTEL_DIVIDE
MEMBER_IN MESSI_ELMER 10.225
MEMBER_IN MARIC_HOLLY 84.612
MEMBER_IN ZIELINSKI_SHERYL 1.795
MEMBER_IN WALTON_CARA 2.501
MEMBER_IN MESSI_NELSON 64.720
MEMBER_IN IVANOVIC_JIMMY 8.114
MEMBER_IN ELLISON_ARNOLD 61.255
MEMBER_IN WALTON_CANDACE 5.858
MEMBER_IN SZYMANSKI_LUCAS 50.231
MEMBER_IN TATTAGLIA_WALLACE 76.043
INTEL_DIVIDE
MEMBER_IN WALTON_CARY 34.799
MEMBER_IN IVANOVIC_ROCHELLE 7.415
MEMBER_IN WHITE_EILEEN 29.416
MEMBER_IN ERBAKAN_MARLA 55.674
MEMBER_IN ELLISON_LUCINDA 94.796
MEMBER_IN PETROVIC_ROGELIO 58.759
MEMBER_IN MARIC_JEFFREY 49.164
MEMBER_IN BUFFETT_AARON 43.023
MEMBER_IN ESCOBAR_NAOMI 12.332
MEMBER_IN SZYMCZAK_LESTER 90.788
INTEL_DIVIDE
MEMBER_IN POYRAZOGLU_KELLEY 75.077
MEMBER_IN ZASA_NELLIE 60.963
MEMBER_IN TATTAGLIA_JESSICA 83.650
MEMBER_IN STOJANOVIC_OLIVER 52.255
MEMBER_IN OZDEMIR_CORINNE 1.231
MEMBER_IN ROSATO_MALCOLM 88.797
MEMBER_IN KOWALCZYK_DORA 40.280
MEMBER_IN TRAJKOVSKI_JEFFREY 73.546
MEMBER_IN GUZMAN_DENNIS 87.850
MEMBER_IN WALTON_HERBERT 7.677
INTEL_DIVIDE
MEMBER_IN TATTAGLIA_KAGAN 67.600
MEMBER_IN OZDEMIR_ALICIA 62.774
MEMBER_IN MBAPPE_TONYA 26.665
MEMBER_IN KOWALCZYK_MIKE 68.483
MEMBER_IN ZUCKERBERG_JOSEPHINE 47.271
MEMBER_IN SOPRANO_ROBERT 11.659
MEMBER_IN TATTAGLIA_JAMIE 36.186
MEMBER_IN KAYA_ISRAEL 62.083
MEMBER_IN PENTANGELI_SUSAN 28.389
MEMBER_IN NOWAK_TAMMY 54.060
INTEL_DIVIDE
MEMBER_IN ZASA_ANTONIO 75.091
MEMBER_IN KOCH_MIRIAM 53.813
MEMBER_IN WOJCIECHOWSKI_KRIS 38.664
MEMBER_IN MARKOVIC_SAMUEL 49.227
MEMBER_IN GOTTI_SHELLY 48.641
MEMBER_IN ADELSON_CARY 39.124
MEMBER_IN OZDEMIR_DOUG 95.890
MEMBER_IN BUFFETT_KARL 66.061
MEMBER_IN KILIC_FAYE 49.390
MEMBER_IN NEYMAR_HILDA 57.073
INTEL_DIVIDE
MEMBER_IN ZASA_LOLA 92.052
MEMBER_IN BUFFETT_KARA 57.374
MEMBER_IN KOWALCZYK_FRANCINE 33.589
MEMBER_IN WOZNIAK_BLANCA 52.929
MEMBER_IN MANE_LEA 0.008
MEMBER_IN KNEZEVIC_HEIDI 64.421
MEMBER_IN MANE_LEE 85.088
MEMBER_IN ADELSON_CARA 34.407
MEMBER_IN ROTSHCHILD_BYRON 63.034
MEMBER_IN KOWALSKI_JODI 40.524
INTEL_DIVIDE
MEMBER_IN GUS_MOLLY 91.930
MEMBER_IN MARIC_MERLE 64.506
MEMBER_IN SLIM_SHELLEY 15.016
MEMBER_IN POYRAZOGLU_GWENDOLYN 89.556
MEMBER_IN FORD_ARTURO 88.302
MEMBER_IN LEWANDOWSKI_LYNDA 89.588
MEMBER_IN KAMINSKI_CASSANDRA 76.161
MEMBER_IN ERBAKAN_MARIA 29.627
MEMBER_IN IVANOVIC_GABRIEL 73.619
MEMBER_IN YILMAZ_MALCOLM 28.893
INTEL_DIVIDE
MEMBER_IN ERBAKAN_MARIE 81.283
MEMBER_IN OZDEMIR_MIKE 73.007
MEMBER_IN PEKER_BERT 62.030
MEMBER_IN NOWAK_NATHAN 17.062
MEMBER_IN KWIATKOWSKI_MORGAN 31.883
MEMBER_IN BENZEMA_EDMUND 52.610
MEMBER_IN WOJCIK_HEIDI 24.387
MEMBER_IN OZDEMIR_DORA 77.747
MEMBER_IN COLOMBO_CRYSTAL 36.488
MEMBER_IN GATES_JACQUELYN 25.399
INTEL_DIVIDE
MEMBER_IN ERBAKAN_MARIO 4.839
MEMBER_IN GOODMAN_RITA 0.091
MEMBER_IN KILIC_JANETTE 89.695
MEMBER_IN ZUCKERBERG_VERONICA 81.556
MEMBER_IN HEISENBERG_YIGIT 52.280
MEMBER_IN STANKOVIC_ROD 52.834
MEMBER_IN STRACCI_NADINE 12.558
MEMBER_IN IVANOVIC_KAY 76.772
MEMBER_IN SOPRANO_MARTHA 72.541
MEMBER_IN STANKOVIC_ROB 47.579
INTEL_DIVIDE
MEMBER_IN PEKER_MIRIAM 94.385
MEMBER_IN CUNEO_GRACIELA 84.032
MEMBER_IN ELLISON_SHEILA 29.428
MEMBER_IN SOPRANO_LESTER 76.386
MEMBER_IN KOWALCZYK_DOUG 27.062
MEMBER_IN KWIATKOWSKI_DOUGLAS 27.806
MEMBER_IN KAYA_KELVIN 92.619
MEMBER_IN STANKOVIC_RON 67.769
MEMBER_IN SZYMCZAK_ROBERT 70.780
MEMBER_IN JOVANOVIC_AMBER 42.881
INTEL_DIVIDE
MEMBER_IN MANE_KEN 99.767
MEMBER_IN CORLEONE_KENT 25.169
MEMBER_IN MANCINI_JANE 9.767
MEMBER_IN MARIC_KATHY 77.311
MEMBER_IN GATES_JULIAN 7.166
MEMBER_IN KOWALCZYK_JULIAN 80.904
MEMBER_IN RIZZI_KATRINA 94.499
MEMBER_IN FORD_CAROLINE 52.194
MEMBER_IN FORD_CAROLINA 5.498
MEMBER_IN NOWAK_ROBIN 26.725
INTEL_DIVIDE
MEMBER_IN CUNEO_FRANCES 20.925
MEMBER_IN DEMIR_BETSY 62.264
MEMBER_IN JANKOWSKI_ORLANDO 38.846
MEMBER_IN MARIC_KATIE 36.174
MEMBER_IN KNEZEVIC_JESSIE 21.053
MEMBER_IN IVANOVIC_JAY 97.359
MEMBER_IN DEMIR_GALE 24.248
MEMBER_IN KOWALCZYK_CORINNE 69.498
MEMBER_IN STANKOVIC_PATTI 50.133
MEMBER_IN JOBS_SILVIA 92.687
INTEL_DIVIDE
MEMBER_IN JOBS_VICTORIA 86.251
MEMBER_IN IVANOVIC_JAN 94.450
MEMBER_IN TERIM_NICHOLAS 94.789
MEMBER_IN PENTANGELI_KERRI 13.140
MEMBER_IN SOYLU_MARGARITA 74.396
MEMBER_IN JESUS_RODERICK 61.592
MEMBER_IN DEMIREL_WESLEY 29.887
MEMBER_IN WALTON_PHILIP 69.026
MEMBER_IN TRAJKOVSKI_LUTHER 72.313
MEMBER_IN CATLI_CHRISTIE 85.716
INTEL_DIVIDE
MEMBER_IN JOVANOVIC_ABIGAIL 31.997
MEMBER_IN BENZEMA_STACY 22.820
MEMBER_IN DEMIREL_FAYE 62.951
MEMBER_IN MARIC_LANCE 59.360
MEMBER_IN KAYA_GORDON 37.983
MEMBER_IN KARTAL_BOB 13.737
MEMBER_IN POYRAZOGLU_MELINDA 19.116
MEMBER_IN LEWANDOWSKI_ARTHUR 54.240
MEMBER_IN STANKOVIC_PATTY 49.295
MEMBER_IN SALAH_VICTORIA 91.845
INTEL_DIVIDE
MEMBER_IN ROCKEFELLER_ROSE 61.977
MEMBER_IN BENZEMA_TOMMY 31.333
MEMBER_IN GENOVESE_SABRINA 77.634
MEMBER_IN PINKMAN_GRACIELA 98.931
MEMBER_IN PEKER_DOMINIC 49.153
MEMBER_IN TADIC_JESSICA 50.515
MEMBER_IN MOEGREENE_KATHY 96.521
MEMBER_IN MOEGREENE_JOANN 1.441
