KILIC_EMRE 64.762
MEMBER_IN KOCAMAN_KRIS 76.321
MEMBER_IN LEWANDOWSKI_ANNIE 48.044
MEMBER_IN INONU_STANLEY 78.302
MEMBER_IN PENTANGELI_DOUG 4.278
MEMBER_IN TERIM_LUKE 50.435
MEMBER_IN STANKOVIC_WILLARD 74.832
MEMBER_IN WALTON_ANITA 98.384
MEMBER_IN SZYMCZAK_MARSHALL 14.461
MEMBER_IN LUCCHESE_HOWARD 18.748
MEMBER_IN SOYLU_DIANA 16.483
MEMBER_IN PINKMAN_OKAN 15.057
MEMBER_IN BENZEMA_SUE 12.678
MEMBER_IN KOWALCZYK_TRACI 66.727
MEMBER_IN SOYLU_DIANE 29.183
MEMBER_IN AGUERO_DICK 84.909
MEMBER_IN JESUS_JASON 66.633
MEMBER_IN HEISENBERG_MICHEAL 92.180
MEMBER_IN PEKER_RENEE 1.456
MEMBER_IN PETROVIC_TRACIE 55.436
MEMBER_IN WOJCIECHOWSKI_STANLEY 18.079
MEMBER_IN MESSI_WHITNEY 88.131
MEMBER_IN SOYLU_LEAH 80.984
MEMBER_IN KAMINSKI_MATT 6.248
MEMBER_IN JESUS_DENNIS 18.029
MEMBER_IN DEMIREL_JODI 26.769
MEMBER_IN MARIC_JACQUELINE 98.875
MEMBER_IN MANE_LIZ 35.657
MEMBER_IN KOCAMAN_HEATHER 3.873
MEMBER_IN MANCINI_DARYL 31.331
MEMBER_IN SOYLU_MARGUERITE 2.065
MEMBER_IN DEMIREL_JODY 47.093
MEMBER_IN ZIELINSKI_MARCIA 13.306
MEMBER_IN STRACCI_CHERYL 54.628
MEMBER_IN KAMINSKI_MARIA 20.677
MEMBER_IN TADIC_WESLEY 65.189
MEMBER_IN PENTANGELI_KAGAN 38.302
MEMBER_IN JANKOWSKI_VICKI 19.438
MEMBER_IN TADIC_TRICIA 51.549
MEMBER_IN TATTAGLIA_EDNA 91.105
MEMBER_IN ROTH_JUAN 40.485
MEMBER_IN AGUERO_GRETCHEN 58.223
MEMBER_IN CORLEONE_ROSEMARIE 65.894
MEMBER_IN NOWAK_FRANCES 75.011
MEMBER_IN KILIC_JESSICA 3.826
MEMBER_IN JOVANOVIC_SIMON 97.368
MEMBER_IN SOYLU_JUANA 84.664
MEMBER_IN ROTSHCHILD_ARMANDO 41.127
MEMBER_IN SOPRANO_KELVIN 6.858
MEMBER_IN MANCINI_JULIUS 82.215
MEMBER_IN KAMINSKI_MARIO 69.772
MEMBER_IN ELLISON_CANDY 31.997
MEMBER_IN POYRAZOGLU_VERNON 51.095
MEMBER_IN KAMINSKI_MARIE 41.823
MEMBER_IN KAYA_MARTHA 38.378
MEMBER_IN KAMINSKI_MARY 89.438
MEMBER_IN ROTH_JUDY 49.548
MEMBER_IN MOEGREENE_CARLOS 22.002
MEMBER_IN MARKOVIC_REGINALD 79.910
MEMBER_IN ZUCKERBERG_JENNIFER 95.456
MEMBER_IN KAYA_JANETTE 13.268
MEMBER_IN POYRAZOGLU_GRANT 67.345
MEMBER_IN NIKOLIC_SHELLY 35.651
MEMBER_IN PENTANGELI_JAMES 74.118
MEMBER_IN CLEMENZA_LUIS 89.895
MEMBER_IN JESUS_FRANKLIN 29.595
MEMBER_IN HEISENBERG_TAMMY 59.859
MEMBER_IN BENZEMA_KARA 93.717
MEMBER_IN FORD_CHARLES 32.093
MEMBER_IN KNEZEVIC_ANTHONY 85.950
MEMBER_IN KILIC_STACIE 90.434
MEMBER_IN MESSI_RANDALL 5.431
MEMBER_IN GUZMAN_GUSTAVO 86.717
MEMBER_IN ROSATO_MADELINE 49.599
MEMBER_IN HEISENBERG_JUANA 76.450
MEMBER_IN BENZEMA_CESAR 82.945
MEMBER_IN JOBS_HOWARD 99.701
MEMBER_IN KAYA_TROY 94.504
MEMBER_IN GOTTI_CHARLENE 23.910
MEMBER_IN ROSATO_CLAUDIA 17.232
MEMBER_IN SOYLU_LENA 8.807
MEMBER_IN COLOMBO_KELLI 87.789
MEMBER_IN KWIATKOWSKI_LEIGH 87.945
MEMBER_IN SALAH_STACIE 36.885
MEMBER_IN SZYMANSKI_JESSICA 79.975
MEMBER_IN CLEMENZA_LUKE 27.736
MEMBER_IN KAMINSKI_MARTA 90.724
MEMBER_IN FORD_JULIAN 74.105
MEMBER_IN MANE_LEIGH 76.586
MEMBER_IN JESUS_LENA 16.257
MEMBER_IN BENZEMA_MARILYN 5.446
MEMBER_IN KILIC_STACEY 87.427
MEMBER_IN NOWAK_YIGIT 96.985
MEMBER_IN BENZEMA_KARL 96.052
MEMBER_IN COLOMBO_JERRY 3.165
MEMBER_IN PEKER_YVONNE 67.199
MEMBER_IN ZIELINSKI_BERNARD 17.701
MEMBER_IN STANKOVIC_ANGELO 17.590
MEMBER_IN BENZEMA_KATE 50.902
MEMBER_IN GENOVESE_MINNIE 90.741
MEMBER_IN BENZEMA_GENEVA 6.175
MEMBER_IN WOZNIAK_KAREN 0.854
MEMBER_IN MORGAN_MATT 63.052
MEMBER_IN TADIC_PETE 74.574
MEMBER_IN KAYA_ROBERT 65.635
MEMBER_IN GENOVESE_MUSTAFA 69.331
MEMBER_IN GUZMAN_NATALIE 91.533
MEMBER_IN COLOMBO_GINGER 34.203
MEMBER_IN RIZZI_MOLLY 46.056
MEMBER_IN NOWAK_JUANA 98.820
MEMBER_IN MESSI_CLYDE 86.069
MEMBER_IN MARIC_CLIFTON 15.127
MEMBER_IN BARZINI_LILLIAN 70.239
MEMBER_IN GATES_EDITH 27.477
MEMBER_IN RONALDO_GREG 40.045
MEMBER_IN ZIELINSKI_RAQUEL 5.052
MEMBER_IN KAYA_GLEN 3.219
MEMBER_IN WHITE_ABIGAIL 30.457
MEMBER_IN FORD_CHARLIE 65.165
MEMBER_IN BENZEMA_GEOFFREY 29.652
MEMBER_IN KOWALCZYK_ARTURO 36.925
MEMBER_IN NIKOLIC_SHELIA 1.760
MEMBER_IN RIZZI_LORNA 93.742
MEMBER_IN ROSATO_ARTHUR 25.395
MEMBER_IN MARIC_FRED 23.116
MEMBER_IN DEMIR_LYNETTE 54.576
MEMBER_IN MORGAN_MARC 56.437
MEMBER_IN STANKOVIC_HEATHER 19.446
MEMBER_IN ESCOBAR_HEATHER 78.154
MEMBER_IN KILIC_SUE 13.694
MEMBER_IN MORGAN_MARK 52.894
MEMBER_IN LUCCHESE_DELIA 14.680
MEMBER_IN GUS_LOREN 84.881
MEMBER_IN NIKOLIC_HILDA 76.599
MEMBER_IN SALAH_STACEY 12.540
MEMBER_IN WOJCIK_DAVID 41.541
MEMBER_IN SOYLU_TAMMY 26.006
MEMBER_IN ZUCKERBERG_DENISE 7.144
MEMBER_IN MORGAN_MARY 33.154
MEMBER_IN MORGAN_ZACHARY 91.309
MEMBER_IN TRAJKOVSKI_LEANNE 79.848
MEMBER_IN ESCOBAR_PHILIP 33.468
MEMBER_IN ESCOBAR_JOANNA 44.284
MEMBER_IN GUZMAN_ELIAS 81.953
MEMBER_IN WOJCIK_MONICA 30.121
MEMBER_IN CORLEONE_JOSIE 25.323
MEMBER_IN ESCOBAR_JOANNE 24.505
MEMBER_IN MANCINI_ALEXANDER 23.694
MEMBER_IN WOJCIECHOWSKI_MARINA 42.507
MEMBER_IN SOYLU_CLIFFORD 85.977
MEMBER_IN GENOVESE_DENISE 39.289
MEMBER_IN GUZMAN_YUNUS 30.573
MEMBER_IN MOEGREENE_SANTIAGO 33.134
MEMBER_IN TERIM_LUCY 53.969
MEMBER_IN PINKMAN_DANIELLE 40.064
MEMBER_IN GENOVESE_JEFFERY 80.635
MEMBER_IN CLEMENZA_LUPE 58.526
MEMBER_IN SZYMCZAK_KENNY 4.847
MEMBER_IN MOEGREENE_TAMMIE 5.240
MEMBER_IN BONANNO_MARIBEL 96.968
MEMBER_IN YILMAZ_CLAUDIA 96.885
MEMBER_IN NIKOLIC_FELIX 41.037
MEMBER_IN MARKOVIC_JEFFERY 26.056
MEMBER_IN GOODMAN_RICK 8.093
MEMBER_IN ADELSON_ANITA 33.733
MEMBER_IN ZASA_KEITH 8.267
MEMBER_IN WHITE_GERALD 58.977
MEMBER_IN OZDEMIR_KRYSTAL 43.959
MEMBER_IN MARIC_FRAN 53.324
MEMBER_IN HEISENBERG_SALVATORE 50.821
MEMBER_IN JOVANOVIC_BETHANY 55.569
MEMBER_IN WOJCIECHOWSKI_MARION 36.887
MEMBER_IN BONANNO_PAIGE 88.428
MEMBER_IN STANKOVIC_SAM 49.012
MEMBER_IN GATES_DOUG 91.392
MEMBER_IN BONANNO_YUNUS 47.210
MEMBER_IN JANKOWSKI_TRINA 22.518
MEMBER_IN LUCCHESE_MONIQUE 65.999
MEMBER_IN CATLI_ROSIE 64.704
MEMBER_IN STOJANOVIC_WHITNEY 46.291
MEMBER_IN LEWANDOWSKI_LYNNE 43.652
MEMBER_IN KNEZEVIC_FAITH 29.242
MEMBER_IN ROCKEFELLER_BONITA 85.988
MEMBER_IN SLIM_BYRON 97.480
MEMBER_IN TESSIO_JORGE 12.297
MEMBER_IN KOWALCZYK_DARREN 43.697
MEMBER_IN ERBAKAN_HEATHER 69.585
MEMBER_IN STRACCI_CANDY 61.289
MEMBER_IN JOVANOVIC_CHRISTOPHER 92.147
MEMBER_IN ROTH_SANDY 94.250
MEMBER_IN YILMAZ_JOSEPH 19.175
MEMBER_IN ADELSON_JEN 22.262
MEMBER_IN MARKOVIC_ROLANDO 63.443
MEMBER_IN INONU_DAVID 40.791
MEMBER_IN WALTON_WENDY 81.188
MEMBER_IN BARZINI_SOPHIA 30.745
MEMBER_IN ERBAKAN_MARCO 32.234
MEMBER_IN KOWALCZYK_MAYRA 82.127
MEMBER_IN LEWANDOWSKI_BRUCE 96.208
MEMBER_IN POYRAZOGLU_GABRIELA 0.800
MEMBER_IN KOCH_MARIO 64.795
MEMBER_IN KOCH_MARIA 47.333
MEMBER_IN KOCH_MARIE 37.777
MEMBER_IN WOJCIECHOWSKI_KELLIE 81.210
MEMBER_IN RIZZI_JACKIE 61.846
MEMBER_IN ERBAKAN_CONNIE 86.767
MEMBER_IN IVANOVIC_MICHELLE 93.929
MEMBER_IN NIKOLIC_CHRISTOPHER 60.303
MEMBER_IN AGUERO_RODERICK 11.910
MEMBER_IN ADELSON_WENDY 30.989
MEMBER_IN OZDEMIR_BERNADETTE 32.448
MEMBER_IN DEMIREL_BYRON 62.655
MEMBER_IN KAYA_LATOYA 16.352
MEMBER_IN WOJCIK_FAITH 56.730
MEMBER_IN ZASA_JACOB 78.631
MEMBER_IN IVANOVIC_VELI 13.236
MEMBER_IN TADIC_WALLACE 69.714
MEMBER_IN CLEMENZA_LUCY 76.371
MEMBER_IN WOJCIECHOWSKI_KELLEY 39.111
MEMBER_IN PETROVIC_ALFRED 78.957
MEMBER_IN LUCCHESE_AARON 22.931
MEMBER_IN ROTH_EDITH 38.715
MEMBER_IN BUFFETT_CLIFFORD 60.198
MEMBER_IN WOJCIECHOWSKI_MARISA 28.593
MEMBER_IN BEZOS_VALERIE 47.056
MEMBER_IN MESSI_JOYCE 97.237
MEMBER_IN BUFFETT_ALBERT 7.000
MEMBER_IN ZASA_ANTONIA 28.614
MEMBER_IN ZASA_LORI 46.101
MEMBER_IN DEMIR_ROSIE 91.855
MEMBER_IN ZUCKERBERG_ANGELICA 47.318
MEMBER_IN MANE_KENNY 42.663
MEMBER_IN INONU_IGNACIO 16.144
MEMBER_IN WOJCIECHOWSKI_LAWRENCE 1.566
MEMBER_IN NIKOLIC_DOMINIC 47.698
MEMBER_IN POYRAZOGLU_MARISA 47.858
MEMBER_IN SZYMCZAK_MARTHA 53.800
MEMBER_IN OZDEMIR_FREDDIE 6.915
MEMBER_IN PETROVIC_ALBERT 52.978
MEMBER_IN MBAPPE_ZACHARY 63.726
MEMBER_IN TATTAGLIA_SUSAN 27.804
MEMBER_IN RIZZI_LOREN 25.021
MEMBER_IN ZIELINSKI_SHERRY 48.240
MEMBER_IN SZYMCZAK_MINDY 88.722
MEMBER_IN WOZNIAK_OWEN 63.464
MEMBER_IN GATES_ARTURO 8.023
MEMBER_IN LEWANDOWSKI_DEBRA 25.832
MEMBER_IN INONU_ROXANNE 73.299
MEMBER_IN KNEZEVIC_DAVID 77.379
MEMBER_IN POYRAZOGLU_MARINA 63.379
MEMBER_IN DEMIREL_JOSH 87.822
MEMBER_IN KWIATKOWSKI_KENNY 53.385
MEMBER_IN PENTANGELI_HEATHER 18.521
MEMBER_IN ZIELINSKI_SHERRI 35.478
MEMBER_IN NEYMAR_MARSHALL 9.112
MEMBER_IN WHITE_GILBERTO 64.073
MEMBER_IN ADELSON_JAY 49.405
MEMBER_IN NIKOLIC_MARGARET 28.551
MEMBER_IN ADELSON_JAN 94.803
MEMBER_IN ESCOBAR_PABLO 63.288
MEMBER_IN KNEZEVIC_DORA 25.391
MEMBER_IN COLOMBO_KELLY 72.145
MEMBER_IN PEKER_FRED 39.464
MEMBER_IN KOCH_WES 53.360
MEMBER_IN DEMIR_BRYAN 89.432
MEMBER_IN KNEZEVIC_MIKE 26.043
MEMBER_IN KACZMAREK_ALAN 8.759
MEMBER_IN KOWALSKI_PATRICK 72.131
MEMBER_IN DEMIR_TREVOR 4.055
MEMBER_IN SOYLU_VELMA 87.810
MEMBER_IN HEISENBERG_JO 93.830
MEMBER_IN JANKOWSKI_LINDSAY 92.836
MEMBER_IN KOWALSKI_PATRICA 63.078
MEMBER_IN SZYMANSKI_GENEVA 79.515
MEMBER_IN JOBS_TRICIA 66.493
MEMBER_IN MARIC_OKAN 33.320
MEMBER_IN BONANNO_MARCELLA 55.248
MEMBER_IN POYRAZOGLU_KELLIE 54.190
MEMBER_IN IVANOVIC_GERTRUDE 98.728
MEMBER_IN ZUCKERBERG_MINNIE 29.813
MEMBER_IN MANE_CAMERON 87.492
MEMBER_IN WHITE_CAROLINA 91.026
MEMBER_IN INONU_FAITH 99.884
MEMBER_IN BUFFETT_VALERIE 16.374
MEMBER_IN POYRAZOGLU_MARION 22.027
MEMBER_IN PETROVIC_SEAN 57.512
MEMBER_IN WHITE_CAROLINE 89.346
MEMBER_IN GOODMAN_JOHNNY 50.260
MEMBER_IN DEMIR_ROGELIO 66.723
MEMBER_IN BARZINI_MORRIS 46.411
MEMBER_IN KOCH_MARCO 80.151
MEMBER_IN LUCCHESE_JILL 48.303
MEMBER_IN TATTAGLIA_JAMES 76.024
MEMBER_IN DEMIREL_JONI 50.350
MEMBER_IN PEKER_MIRANDA 62.425
MEMBER_IN TADIC_ALEXIS 99.428
MEMBER_IN MORGAN_PAM 79.489
MEMBER_IN ROTH_VITOR 90.158
MEMBER_IN GENOVESE_PEGGY 32.442
MEMBER_IN ZASA_LOIS 6.864
MEMBER_IN PEKER_BETH 86.786
MEMBER_IN PEKER_FRAN 2.317
MEMBER_IN BUFFETT_GEOFFREY 45.116
MEMBER_IN KOWALCZYK_JOSIE 49.933
MEMBER_IN JANKOWSKI_JOHANNA 35.937
MEMBER_IN ROSATO_KATHRYN 64.045
MEMBER_IN CATLI_BRYAN 27.118
MEMBER_IN PETROVIC_BENJAMIN 49.172
MEMBER_IN ROSATO_KRISTINA 51.477
MEMBER_IN COLOMBO_GAYLE 84.140
MEMBER_IN MARIC_MELISSA 2.571
MEMBER_IN BUFFETT_ALFRED 41.935
MEMBER_IN CATLI_TINA 84.182
MEMBER_IN KILIC_DWAYNE 56.658
MEMBER_IN STOJANOVIC_RANDALL 35.963
MEMBER_IN YILMAZ_CHARLENE 37.399
MEMBER_IN MESSI_ELMER 39.118
MEMBER_IN MARIC_HOLLY 11.831
MEMBER_IN ZIELINSKI_SHERYL 6.876
MEMBER_IN WALTON_CARA 28.373
MEMBER_IN MESSI_NELSON 43.350
MEMBER_IN IVANOVIC_JIMMY 26.643
MEMBER_IN ELLISON_ARNOLD 65.123
MEMBER_IN WALTON_CANDACE 84.120
MEMBER_IN SZYMANSKI_LUCAS 25.186
MEMBER_IN TATTAGLIA_WALLACE 58.240
MEMBER_IN WALTON_CARY 17.616
MEMBER_IN IVANOVIC_ROCHELLE 98.973
MEMBER_IN WHITE_EILEEN 13.801
MEMBER_IN ERBAKAN_MARLA 7.329
MEMBER_IN ELLISON_LUCINDA 99.161
MEMBER_IN PETROVIC_ROGELIO 77.971
MEMBER_IN MARIC_JEFFREY 78.066
MEMBER_IN BUFFETT_AARON 44.897
MEMBER_IN ESCOBAR_NAOMI 92.531
MEMBER_IN SZYMCZAK_LESTER 31.164
MEMBER_IN POYRAZOGLU_KELLEY 55.178
MEMBER_IN ZASA_NELLIE 23.806
MEMBER_IN TATTAGLIA_JESSICA 69.935
MEMBER_IN STOJANOVIC_OLIVER 25.461
MEMBER_IN OZDEMIR_CORINNE 50.704
MEMBER_IN ROSATO_MALCOLM 33.163
MEMBER_IN KOWALCZYK_DORA 88.253
MEMBER_IN TRAJKOVSKI_JEFFREY 96.707
MEMBER_IN GUZMAN_DENNIS 5.878
MEMBER_IN WALTON_HERBERT 63.318
MEMBER_IN TATTAGLIA_KAGAN 32.582
MEMBER_IN OZDEMIR_ALICIA 22.684
MEMBER_IN MBAPPE_TONYA 39.989
MEMBER_IN KOWALCZYK_MIKE 5.469
MEMBER_IN ZUCKERBERG_JOSEPHINE 71.785
MEMBER_IN SOPRANO_ROBERT 49.634
MEMBER_IN TATTAGLIA_JAMIE 3.114
MEMBER_IN KAYA_ISRAEL 80.603
MEMBER_IN PENTANGELI_SUSAN 2.936
MEMBER_IN NOWAK_TAMMY 94.746
MEMBER_IN ZASA_ANTONIO 39.612
MEMBER_IN KOCH_MIRIAM 75.751
MEMBER_IN WOJCIECHOWSKI_KRIS 38.190
MEMBER_IN MARKOVIC_SAMUEL 5.177
MEMBER_IN GOTTI_SHELLY 6.519
MEMBER_IN ADELSON_CARY 91.108
MEMBER_IN OZDEMIR_DOUG 40.368
MEMBER_IN BUFFETT_KARL 23.065
MEMBER_IN KILIC_FAYE 38.051
MEMBER_IN NEYMAR_HILDA 91.519
MEMBER_IN ZASA_LOLA 38.438
MEMBER_IN BUFFETT_KARA 68.801
MEMBER_IN KOWALCZYK_FRANCINE 1.105
MEMBER_IN WOZNIAK_BLANCA 25.685
MEMBER_IN MANE_LEA 96.312
MEMBER_IN KNEZEVIC_HEIDI 1.168
MEMBER_IN MANE_LEE 85.752
MEMBER_IN ADELSON_CARA 68.482
MEMBER_IN ROTSHCHILD_BYRON 97.338
MEMBER_IN KOWALSKI_JODI 33.643
MEMBER_IN GUS_MOLLY 64.676
MEMBER_IN MARIC_MERLE 10.590
MEMBER_IN SLIM_SHELLEY 6.673
MEMBER_IN POYRAZOGLU_GWENDOLYN 3.345
MEMBER_IN FORD_ARTURO 91.434
MEMBER_IN LEWANDOWSKI_LYNDA 57.223
MEMBER_IN KAMINSKI_CASSANDRA 28.958
MEMBER_IN ERBAKAN_MARIA 93.398
MEMBER_IN IVANOVIC_GABRIEL 32.194
MEMBER_IN YILMAZ_MALCOLM 93.847
MEMBER_IN ERBAKAN_MARIE 43.891
MEMBER_IN OZDEMIR_MIKE 32.229
MEMBER_IN PEKER_BERT 91.840
MEMBER_IN NOWAK_NATHAN 52.636
MEMBER_IN KWIATKOWSKI_MORGAN 67.247
MEMBER_IN BENZEMA_EDMUND 82.058
MEMBER_IN WOJCIK_HEIDI 11.693
MEMBER_IN OZDEMIR_DORA 96.895
MEMBER_IN COLOMBO_CRYSTAL 89.465
MEMBER_IN GATES_JACQUELYN 16.035
MEMBER_IN ERBAKAN_MARIO 46.447
MEMBER_IN GOODMAN_RITA 4.885
MEMBER_IN KILIC_JANETTE 62.723
MEMBER_IN ZUCKERBERG_VERONICA 48.218
MEMBER_IN HEISENBERG_YIGIT 19.153
MEMBER_IN STANKOVIC_ROD 88.682
MEMBER_IN STRACCI_NADINE 71.471
MEMBER_IN IVANOVIC_KAY 48.826
MEMBER_IN SOPRANO_MARTHA 94.054
MEMBER_IN STANKOVIC_ROB 32.479
MEMBER_IN PEKER_MIRIAM 45.111
MEMBER_IN CUNEO_GRACIELA 7.250
MEMBER_IN ELLISON_SHEILA 67.800
MEMBER_IN SOPRANO_LESTER 98.712
MEMBER_IN KOWALCZYK_DOUG 87.273
MEMBER_IN KWIATKOWSKI_DOUGLAS 92.820
MEMBER_IN KAYA_KELVIN 33.845
MEMBER_IN STANKOVIC_RON 20.907
MEMBER_IN SZYMCZAK_ROBERT 25.417
MEMBER_IN JOVANOVIC_AMBER 48.165
MEMBER_IN MANE_KEN 7.572
MEMBER_IN CORLEONE_KENT 12.779
MEMBER_IN MANCINI_JANE 80.759
MEMBER_IN MARIC_KATHY 81.231
MEMBER_IN GATES_JULIAN 20.017
MEMBER_IN KOWALCZYK_JULIAN 24.829
MEMBER_IN RIZZI_KATRINA 2.651
MEMBER_IN FORD_CAROLINE 61.211
MEMBER_IN FORD_CAROLINA 74.754
MEMBER_IN NOWAK_ROBIN 73.612
MEMBER_IN CUNEO_FRANCES 43.001
MEMBER_IN DEMIR_BETSY 15.011
MEMBER_IN JANKOWSKI_ORLANDO 91.635
MEMBER_IN MARIC_KATIE 41.290
MEMBER_IN KNEZEVIC_JESSIE 81.482
MEMBER_IN IVANOVIC_JAY 26.362
MEMBER_IN DEMIR_GALE 81.562
MEMBER_IN KOWALCZYK_CORINNE 21.789
MEMBER_IN STANKOVIC_PATTI 65.160
MEMBER_IN JOBS_SILVIA 79.665
MEMBER_IN JOBS_VICTORIA 66.103
MEMBER_IN IVANOVIC_JAN 4.330
MEMBER_IN TERIM_NICHOLAS 39.914
MEMBER_IN PENTANGELI_KERRI 53.493
MEMBER_IN SOYLU_MARGARITA 54.981
MEMBER_IN JESUS_RODERICK 37.914
MEMBER_IN DEMIREL_WESLEY 24.531
MEMBER_IN WALTON_PHILIP 37.476
MEMBER_IN TRAJKOVSKI_LUTHER 96.378
MEMBER_IN CATLI_CHRISTIE 10.402
MEMBER_IN JOVANOVIC_ABIGAIL 76.761
MEMBER_IN BENZEMA_STACY 72.672
MEMBER_IN DEMIREL_FAYE 19.161
MEMBER_IN MARIC_LANCE 43.696
MEMBER_IN KAYA_GORDON 60.394
MEMBER_IN KARTAL_BOB 84.133
MEMBER_IN POYRAZOGLU_MELINDA 41.778
MEMBER_IN LEWANDOWSKI_ARTHUR 12.899
MEMBER_IN STANKOVIC_PATTY 31.585
MEMBER_IN SALAH_VICTORIA 52.485
MEMBER_IN ROCKEFELLER_ROSE 0.956
MEMBER_IN BENZEMA_TOMMY 8.795
MEMBER_IN GENOVESE_SABRINA 10.596
MEMBER_IN PINKMAN_GRACIELA 87.701
MEMBER_IN PEKER_DOMINIC 46.725
MEMBER_IN TADIC_JESSICA 56.364
MEMBER_IN MOEGREENE_KATHY 29.639
MEMBER_IN MOEGREENE_JOANN 40.586
MEMBER_IN MARIC_PEARL 18.787
MEMBER_IN SALAH_ANNE 29.775
MEMBER_IN GAMBINO_CLYDE 18.883
MEMBER_IN TESSIO_DERRICK 37.115
MEMBER_IN BENZEMA_GRANT 38.802
MEMBER_IN CUNEO_FRANCIS 21.232
MEMBER_IN CATLI_NATHAN 19.467
MEMBER_IN CORLEONE_KERI 29.969
MEMBER_IN BUFFETT_DEBORA 88.684
MEMBER_IN STANKOVIC_JOEL 85.693
MEMBER_IN KOWALCZYK_DARRYL 14.496
MEMBER_IN WOJCIK_BERNADETTE 55.952
MEMBER_IN KWIATKOWSKI_MINDY 58.671
MEMBER_IN KAYA_KYLE 55.863
MEMBER_IN GAMBINO_LENA 79.867
MEMBER_IN BENZEMA_DEBBIE 60.944
MEMBER_IN PEKER_RACHAEL 80.205
MEMBER_IN IVANOVIC_JEN 12.352
MEMBER_IN POYRAZOGLU_RAMONA 39.758
MEMBER_IN IVANOVIC_DREW 69.913
MEMBER_IN PETROVIC_VICTOR 96.425
MEMBER_IN TRAJKOVSKI_CLIFTON 77.933
MEMBER_IN NOWAK_TANYA 72.771
MEMBER_IN NEYMAR_CLIFTON 70.810
MEMBER_IN SZYMCZAK_LATOYA 53.437
MEMBER_IN ADELSON_JOE 92.702
